Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ecuador,MtCO2e,1.02,1.04,1.02,0.95,0.97,1.18,1.36,1.30,1.17,1.03,1.26,1.30,1.32,1.35,1.49,1.57,1.74,1.83,2.22,2.11,2.09,2.24,2.35,2.61,2.60,2.33,2.21,2.21,2.21
Dominican Republic,MtCO2e,0.46,0.53,0.59,0.55,0.55,0.62,0.70,0.79,0.80,0.97,1.07,1.16,1.28,1.21,1.10,1.14,1.54,1.65,1.67,1.52,1.61,1.56,1.61,1.65,1.86,1.92,1.92,1.92,1.92
Ireland,MtCO2e,0.88,0.78,0.75,0.73,0.86,0.88,0.98,1.15,1.06,1.17,1.70,1.85,1.86,2.13,2.29,2.36,2.35,2.37,2.11,1.33,1.10,0.97,1.18,1.11,1.46,1.65,1.79,1.84,1.84
Senegal,MtCO2e,0.19,0.20,0.25,0.24,0.28,0.28,0.33,0.35,0.41,0.40,0.54,0.62,0.66,0.68,0.95,1.04,1.13,1.22,1.19,1.28,1.57,1.79,1.79,2.02,1.90,1.79,1.78,1.78,1.78
Switzerland,MtCO2e,2.58,2.25,2.11,1.91,2.11,1.99,1.79,1.61,1.61,1.61,1.73,1.76,1.69,1.65,1.75,1.85,1.85,1.89,1.86,1.85,1.96,1.93,1.81,1.83,1.88,1.72,1.77,1.76,1.76
Jordan,MtCO2e,0.76,0.56,1.29,1.43,1.62,1.41,1.40,1.29,1.04,1.05,1.02,1.20,1.32,1.28,1.39,1.41,1.40,1.54,1.57,1.39,1.41,1.00,1.41,1.46,1.57,1.63,1.71,1.71,1.71
Sudan,MtCO2e,0.07,0.07,0.10,0.10,0.07,0.16,0.16,0.11,0.08,0.09,0.06,0.08,0.08,0.11,0.12,0.13,0.08,0.13,0.10,0.24,0.74,1.15,1.34,1.38,1.35,1.44,1.55,1.55,1.55
Sweden,MtCO2e,1.27,1.14,1.09,1.09,1.11,1.30,1.23,1.10,1.13,1.14,1.29,1.33,1.28,1.21,1.28,1.31,1.44,1.34,1.40,1.26,1.32,1.36,1.48,1.40,1.40,1.54,1.55,1.48,1.48
Kuwait,MtCO2e,0.37,0.04,0.22,0.20,0.41,0.78,0.80,0.79,0.53,0.56,0.46,0.35,0.59,0.68,0.94,0.75,0.78,0.80,0.93,0.72,0.72,0.80,0.83,1.04,1.33,1.47,1.40,1.40,1.40
Slovakia,MtCO2e,false,false,1.31,1.03,1.11,1.16,1.10,1.22,1.82,1.83,1.19,1.21,1.17,0.92,1.22,1.26,1.39,1.49,1.60,1.21,0.86,1.26,1.10,1.14,1.27,1.31,1.34,1.37,1.37
Guatemala,MtCO2e,0.72,0.62,0.60,0.48,0.51,0.50,0.47,0.55,0.64,0.68,0.84,0.85,0.84,0.83,0.91,0.98,0.97,1.00,0.99,0.59,1.10,1.11,1.12,1.15,1.36,1.36,1.36,1.36,1.36
