Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Sweden,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,false,false,false,false,false,false,0.00,false,false,false,false,false,false,false,0.01,false,false,false,0.00
Bahamas,MtCO2e,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.07,0.08,0.08,0.10,0.01,0.01,0.00,0.02,0.02,0.01,0.00,0.02,0.01,0.01,0.02,0.00,0.03,0.01,0.01,0.02,0.03,0.00
El Salvador,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,false,0.00,0.00,0.00,0.00,0.00,false,0.00,0.00,0.00,false,false,false,false,false,false,0.00,0.01,false,0.01,false,0.01,0.00
Guyana,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.20,0.02,0.02,0.01,0.01,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00
Italy,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.00,0.00,0.00,0.00,false,0.00,0.03,0.00,0.00,false,0.00,0.02,0.00,0.00,0.00,0.00,0.03,0.00
Sudan,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Togo,MtCO2e,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.09,0.17,0.24,0.05,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00
Bhutan,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.02,0.01,0.00,0.00,0.01,0.00,0.01,0.04,0.00,0.00,0.02,0.01,0.03,0.00,0.02,0.02,0.01,0.00,0.00
Mongolia,MtCO2e,0.10,0.10,0.10,0.10,0.10,0.10,0.17,0.98,0.51,0.16,0.39,0.00,0.02,0.00,false,false,0.00,0.00,0.00,0.03,false,0.02,0.00,false,false,0.02,false,0.01,0.00
Pakistan,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false,0.00,0.00,0.00,false,0.00,false,0.00,0.00,false,0.01,false,0.00,false,false,0.00,false,false,false,0.00,0.00,0.00
Eswatini,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.04,0.08,0.05,0.04,0.01,0.00,0.01,0.01,0.01,0.00,0.07,0.04,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00
Timor-Leste,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,false,0.01,false,0.00,false,0.00,0.01,false,0.00,0.00,0.01,0.00,0.00,0.00,false,0.00,0.00,false,0.00,0.00,false,0.00,0.00
Armenia,MtCO2e,false,false,false,false,false,false,false,false,0.00,false,false,false,false,false,false,false,0.00,false,false,false,0.00,false,false,false,false,false,false,false,0.00
Austria,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.00,false,false,false,false,false,false,false,false,0.00,false,false,false,0.00
Azerbaijan,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,false,0.00,false,false,false,false,0.00,false,false,0.00,false,false,false,false,false,false,0.00,0.00
Côte d'Ivoire,MtCO2e,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.24,0.53,0.54,0.41,0.03,0.01,0.01,0.02,0.01,0.01,0.06,0.02,0.01,0.01,0.00,0.03,0.00,0.00,0.00,0.02,0.00,0.00
Fiji,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,false,false,false,0.01,false,false,false,false,0.00,0.01,0.00,false,false,false,0.00,0.00,false,false,0.00
France,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.00,0.03,0.01,0.02,false,0.00,0.01,0.01,0.01,0.00,0.03,0.00,0.01,0.00,0.00,0.03,0.00
Greece,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.13,0.01,0.03,false,false,false,false,false,0.00,0.03,0.00,false,false,0.01,0.00,false,0.00,false,0.01,0.00,0.00
Iran,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.02,0.01,false,false,false,false,0.00,false,0.00,false,false,0.03,0.00,0.00,false,false,false,false,0.00,0.00
Latvia,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,false,0.00,false,0.00,0.00,0.00,0.00,0.01,0.00,false,false,false,false,false,false,false,false,false,false,0.00,false,false,0.00
Norway,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false,false,false,false,false,0.00,false,false,false,false,false,false,false,false,false,false,false,0.00
Panama,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.01,0.00,false,0.00,0.00,0.00,0.01,0.01,false,0.00
Romania,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,false,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,false,false,0.01,0.00
Slovakia,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.00,false,false,false,false,false,false,false,false,false,false,0.00
Spain,MtCO2e,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.19,0.13,0.06,0.11,0.00,0.01,0.01,0.01,0.03,0.03,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.03,0.00
Suriname,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.05,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uruguay,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,false,false,false,0.00,0.00,false,false,0.00,false,false,0.00,false,false,false,false,false,false,0.00
Afghanistan,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
