Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Malaysia,MtCO2e,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.13,1.23,0.06,0.06,0.00,0.03,0.02,0.04,0.05,0.03,0.03,0.02,0.08,0.05,0.01,0.01,0.01,0.06,0.02,0.05,false,0.02
Benin,MtCO2e,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.35,0.29,0.20,0.05,0.05,0.03,0.02,0.10,0.05,0.04,0.02,0.02,0.00,0.02,0.01,0.01,0.00,0.01,0.01,0.02,0.02
Portugal,MtCO2e,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.04,0.06,0.05,0.03,0.00,0.01,0.06,0.00,0.06,0.01,0.00,false,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.07,0.27,0.02
Sierra Leone,MtCO2e,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.03,0.07,0.05,0.04,0.00,0.00,0.05,0.06,0.04,0.06,0.04,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.22,0.03,0.03,0.02
Costa Rica,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.02,false,0.00,0.01,false,0.02,0.02,0.01,0.03,0.03,0.01,0.01
Liberia,MtCO2e,0.06,0.06,0.06,0.06,0.06,0.06,0.01,0.01,0.01,0.01,0.01,false,false,0.04,0.01,false,0.08,0.01,0.03,0.32,0.02,0.04,0.02,0.03,0.17,0.44,0.03,0.03,0.01
Guatemala,MtCO2e,0.17,0.17,0.17,0.17,0.17,0.17,0.24,0.17,0.67,0.18,0.43,0.01,0.05,0.79,0.01,0.42,0.06,0.15,0.07,0.20,0.05,0.04,0.03,0.10,0.01,0.07,0.10,0.09,0.01
Belize,MtCO2e,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.03,0.02,0.03,0.12,0.00,0.04,0.01,0.05,0.02,0.01,0.02,0.17,0.00,0.05,0.01,0.02,0.02,0.04,0.01
Japan,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.02,0.01,0.00,0.01,0.01
Philippines,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.06,0.02,0.02,0.00,0.03,0.03,0.03,0.05,0.01,0.02,0.01,0.01,0.10,0.01,0.00,0.02,0.03,0.04,0.05,0.01,0.01
Uganda,MtCO2e,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.20,0.24,0.32,0.19,0.03,0.03,0.03,0.03,0.04,0.02,0.01,0.02,0.01,0.02,0.02,0.04,0.02,0.03,0.03,0.02,0.03,0.01
Cuba,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.03,0.01,0.02,0.01,0.02,0.04,0.03,0.01,0.01,0.04,0.01,0.04,0.01,0.02,0.01,0.03,0.01,0.02,0.01
Ecuador,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false,0.01,0.00,0.00,0.00,0.01,0.00,0.01,false,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.01,0.00,0.00
El Salvador,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,false,false,0.00,0.00,0.00,0.00,false,0.00,0.00,0.00,false,false,false,false,false,false,0.00,0.02,false,0.02,false,0.01,0.00
Sweden,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false,0.00,0.00,false,false,false,false,false,false,0.00,false,false,false,false,false,false,false,0.02,false,false,false,0.00
Togo,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.06,0.09,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00
Bahamas,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.01,0.01,0.00,0.02,0.02,0.01,0.00,0.02,0.02,0.01,0.02,0.00,0.03,0.01,0.01,0.02,0.04,0.00
Guyana,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.07,0.01,0.01,0.01,0.01,0.04,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00
Italy,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,false,0.00,0.02,0.00,0.00,0.00,0.00,0.03,0.00
Sudan,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bhutan,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.04,0.00,0.00,0.03,0.01,0.04,0.01,0.02,0.02,0.01,0.01,0.00
Timor-Leste,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,false,0.00,false,0.00,false,0.00,0.01,false,0.00,0.00,0.01,0.00,0.00,0.00,false,0.00,0.00,false,0.00,0.00,0.00,0.00,0.00
Azerbaijan,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,false,0.00,false,false,false,false,0.00,false,false,0.00,false,false,false,0.00,false,false,0.00,0.00
Côte d'Ivoire,MtCO2e,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.08,0.19,0.19,0.14,0.03,0.01,0.02,0.02,0.02,0.01,0.06,0.02,0.01,0.01,0.00,0.03,0.01,0.00,0.00,0.02,0.01,0.00
Mongolia,MtCO2e,0.07,0.07,0.07,0.07,0.07,0.07,0.11,0.65,0.34,0.10,0.26,0.00,0.03,0.00,false,false,0.00,0.01,0.00,0.03,false,0.02,0.00,false,0.00,0.02,false,0.01,0.00
Pakistan,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false,0.00,0.00,0.00,false,0.00,false,0.00,0.00,false,0.01,false,0.00,false,false,0.00,false,false,false,0.00,0.00,0.00
Romania,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,false,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,false,false,0.01,0.00
Spain,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.13,0.09,0.04,0.07,0.00,0.01,0.01,0.01,0.03,0.03,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.03,0.00
