Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gambia,955595.0,992671.0,1027476.0,1060861.0,1094219.0,1128577.0,1164091.0,1200522.0,1238124.0,1277118.0,1317708.0,1360070.0,1404263.0,1449925.0,1496524.0,1543745.0,1591444.0,1639846.0,1689288.0,1740277.0,1793199.0,1848142.0,1905020.0,1963708.0,2024037.0,2085860.0,2149134.0,2213900.0,2280092.0
Guinea-Bissau,975265.0,997522.0,1020353.0,1043421.0,1066345.0,1088850.0,1110835.0,1132505.0,1154372.0,1177133.0,1201305.0,1227105.0,1254454.0,1283297.0,1313492.0,1344931.0,1377582.0,1411545.0,1446936.0,1483920.0,1522603.0,1562996.0,1604981.0,1648259.0,1692433.0,1737207.0,1782434.0,1828146.0,1874304.0
Equatorial Guinea,419188.0,432844.0,447269.0,462637.0,479099.0,496768.0,515844.0,536459.0,558496.0,581765.0,606180.0,631662.0,658388.0,686670.0,716949.0,749527.0,784494.0,821686.0,860839.0,901589.0,943640.0,986861.0,1031191.0,1076412.0,1122273.0,1168575.0,1215181.0,1262008.0,1308966.0
Greece,10196792.0,10319927.0,10399061.0,10460415.0,10512922.0,10562153.0,10608800.0,10661259.0,10720509.0,10761698.0,10805808.0,10862132.0,10902022.0,10928070.0,10955141.0,10987314.0,11020362.0,11048473.0,11077841.0,11107017.0,11121341.0,11104899.0,11045011.0,10965211.0,10892413.0,10820883.0,10775971.0,10754679.0,10732882.0
Grenada,96328.0,96462.0,97161.0,98234.0,99345.0,100286.0,101003.0,101567.0,102023.0,102429.0,102837.0,103242.0,103636.0,104003.0,104346.0,104658.0,104938.0,105183.0,105457.0,105787.0,106227.0,106786.0,107452.0,108172.0,108900.0,109603.0,110263.0,110874.0,111449.0
Guatemala,9050115.0,9296814.0,9544055.0,9790619.0,10037522.0,10286786.0,10536942.0,10788362.0,11046215.0,11311078.0,11589761.0,11871565.0,12147518.0,12415334.0,12682108.0,12948292.0,13213330.0,13477017.0,13739299.0,14000190.0,14259687.0,14521515.0,14781942.0,15043981.0,15306316.0,15567419.0,15827690.0,16087418.0,16346950.0
Guyana,743306.0,744477.0,748596.0,754141.0,758896.0,761298.0,760801.0,757975.0,753778.0,749676.0,746718.0,745206.0,744789.0,745142.0,745737.0,746156.0,746335.0,746477.0,746815.0,747718.0,749430.0,752029.0,755388.0,759281.0,763371.0,767433.0,771363.0,775218.0,779007.0
Honduras,4955302.0,5098594.0,5244677.0,5394416.0,5548969.0,5709010.0,5874814.0,6045704.0,6220405.0,6397140.0,6574510.0,6751912.0,6929267.0,7106323.0,7282953.0,7458982.0,7634295.0,7808520.0,7980955.0,8150780.0,8317467.0,8480670.0,8640692.0,8798524.0,8955579.0,9112904.0,9270794.0,9429016.0,9587523.0
Croatia,4777368.0,4689022.0,4575818.0,4600463.0,4652024.0,4620030.0,4557097.0,4534920.0,4532135.0,4512597.0,4468302.0,4299642.0,4302174.0,4303399.0,4304600.0,4310145.0,4311159.0,4310217.0,4309705.0,4305181.0,4295427.0,4280622.0,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,4087843.0
Haiti,7037915.0,7178611.0,7319491.0,7460684.0,7602318.0,7744509.0,7887312.0,8030721.0,8174680.0,8319070.0,8463802.0,8608810.0,8754148.0,8900108.0,9047082.0,9195289.0,9344784.0,9495336.0,9646570.0,9798046.0,9949318.0,10100320.0,10250922.0,10400672.0,10549007.0,10695540.0,10839976.0,10982367.0,11123183.0
Hungary,10373988.0,10373400.0,10369341.0,10357523.0,10343355.0,10328965.0,10311238.0,10290486.0,10266570.0,10237530.0,10210971.0,10187576.0,10158608.0,10129552.0,10107146.0,10087065.0,10071370.0,10055780.0,10038188.0,10022650.0,10000023.0,9971727.0,9920362.0,9893082.0,9866468.0,9843028.0,9814023.0,9787966.0,9775564.0
Indonesia,181413398.0,184591897.0,187739786.0,190851184.0,193917458.0,196934257.0,199901231.0,202826444.0,205724597.0,208615171.0,211513822.0,214427419.0,217357790.0,220309473.0,223285666.0,226289468.0,229318262.0,232374239.0,235469755.0,238620554.0,241834226.0,245115988.0,248451714.0,251805314.0,255128076.0,258383257.0,261556386.0,264650969.0,267670549.0
India,873277799.0,891273202.0,909307018.0,927403866.0,945601828.0,963922586.0,982365248.0,1000900028.0,1019483586.0,1038058154.0,1056575548.0,1075000094.0,1093317187.0,1111523146.0,1129623466.0,1147609924.0,1165486291.0,1183209471.0,1200669762.0,1217726217.0,1234281163.0,1250287939.0,1265780243.0,1280842119.0,1295600768.0,1310152392.0,1324517250.0,1338676779.0,1352642283.0
